quarter,time,team,player_name,event_text,home_score,away_score
Q3,01:12,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q3,01:20,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>борба в защита</div>",,
Q3,01:23,away,Димитър Балъков,"<div class=""div_info"">
<a class=""player_name"" href=""player-17394-dimityr-balykov"">Димитър Балъков</a>3 стрелба с отскок</div>",,
Q3,01:37,away,Йордан Иванов,"<div class=""div_info"">
<a class=""player_name"" href=""player-13846-iordan-ivanov"">Йордан Иванов</a>3 стрелба с отскок</div>",,
Q3,01:49,away,Димитър Балъков,"<div class=""div_info"">
<a class=""player_name"" href=""player-17394-dimityr-balykov"">Димитър Балъков</a>борба в защита</div>",,
Q3,01:49,home,Валери Пейков,"<div class=""div_info"">
<a class=""player_name"" href=""player-9382-valeri-peikov"">Валери Пейков</a>наказателен удар 1от2<br/>успешен (6 точки)</div>",45,41
Q3,01:49,home,Валери Пейков,"<div class=""div_info"">
<a class=""player_name"" href=""player-9382-valeri-peikov"">Валери Пейков</a>наказателен удар 2от2<br/>неуспешен</div>",,
Q3,02:01,away,Йордан Иванов,"<div class=""div_info"">
<a class=""player_name"" href=""player-13846-iordan-ivanov"">Йордан Иванов</a>лично нарушение</div>",,
Q3,02:01,home,Валери Пейков,"<div class=""div_info"">
<a class=""player_name"" href=""player-9382-valeri-peikov"">Валери Пейков</a>понесено нарушение</div>",,
Q3,02:02,home,Стефан Иванов,"<div class=""div_info"">
<a class=""player_name"" href=""player-3985-stefan-ivanov"">Стефан Иванов</a>борба в защита</div>",,
Q3,02:02,away,Йосиф Омар,"<div class=""div_info"">
<a class=""player_name"" href=""player-10398-iosif-omar"">Йосиф Омар</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q3,02:02,away,Стефан Милев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13416-stefan-milev"">Стефан Милев</a>смяна излиза</div>",,
Q3,02:02,away,Елин Нешев,"<div class=""div_info"">
<a class=""player_name"" href=""player-10719-elin-neshev"">Елин Нешев</a>смяна влиза</div>",,
Q3,02:11,away,Димитър Рачев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13187-dimityr-rachev"">Димитър Рачев</a>понесено нарушение</div>",,
Q3,02:11,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>лично нарушение</div>",,
Q3,02:15,away,Стефан Милев,"<div class=""div_info"">
<a class=""player_name"" href=""player-13416-stefan-milev"">Стефан Милев</a>борба в защита</div>",,
Q3,02:18,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>опит за стрелба от 2т.<br/>неуспешен</div>",,
Q3,02:18,home,Андреан Деков,"<div class=""div_info"">
<a class=""player_name"" href=""player-18487-andrean-dekov"">Андреан Деков</a>борба в нападение</div>",,
